who	items	ioTime	cpuTime	lockTime	total
sampler	653558	6.313007e+01	4.167337e+01	0.000000e+00	1.084506e+02
classifier	217819	7.728592e+01	2.896530e+01	1.608000e+00	1.093497e+02
classifier	217820	8.011758e+01	3.219922e+01	1.417971e+00	1.150895e+02
classifier	217819	8.419605e+01	3.369400e+01	1.445225e+00	1.205998e+02
m_receiver	480	1.141670e+02	8.536000e-03	1.179190e-01	1.206004e+02
m_receiver	480	1.126017e+02	2.747200e-02	1.761450e-01	1.169247e+02
detector	653461	7.238658e+01	4.116541e+01	0.000000e+00	1.176968e+02
m_receiver	480	1.114030e+02	6.330000e-03	4.960970e-01	1.153799e+02
sampler	653558	8.817995e+01	4.222857e+01	0.000000e+00	1.346264e+02
classifier	163364	1.191824e+02	2.683575e+01	1.308094e+00	1.485179e+02
classifier	163365	7.910602e+01	3.160739e+01	1.131759e+00	1.128523e+02
classifier	163365	8.231381e+01	3.253115e+01	1.030798e+00	1.170220e+02
classifier	163364	8.772432e+01	3.310564e+01	1.057537e+00	1.228713e+02
m_receiver	762	1.167709e+02	8.675000e-03	1.211360e-01	1.201071e+02
m_receiver	762	1.138811e+02	1.370800e-02	1.314350e-01	1.179174e+02
m_receiver	762	1.165543e+02	8.915000e-03	1.614320e-01	1.228836e+02
detector	653462	5.704413e+01	8.301142e+01	0.000000e+00	1.447302e+02
m_receiver	762	1.587074e+02	1.105800e-02	2.557400e-02	1.630748e+02
sampler	653558	7.555273e+01	4.563094e+01	0.000000e+00	1.255163e+02
classifier	130691	1.161091e+02	2.367578e+01	9.239200e-01	1.417507e+02
classifier	130691	1.147760e+02	2.529410e+01	9.528000e-01	1.420187e+02
classifier	130692	7.941222e+01	2.700613e+01	1.112542e+00	1.084708e+02
classifier	130692	7.984840e+01	2.653031e+01	9.378270e-01	1.082536e+02
classifier	130692	8.025542e+01	2.529699e+01	8.599030e-01	1.073086e+02
m_receiver	598	1.075531e+02	6.689000e-03	9.012400e-02	1.085879e+02
m_receiver	598	1.063661e+02	6.311000e-03	7.845000e-02	1.073196e+02
m_receiver	598	1.072260e+02	9.447000e-03	1.457950e-01	1.083078e+02
detector	653463	6.741057e+01	5.477510e+01	0.000000e+00	1.270214e+02
m_receiver	598	1.428523e+02	6.502000e-03	8.961000e-03	1.437371e+02
m_receiver	598	1.431037e+02	8.015000e-03	1.246400e-02	1.440059e+02
sampler	653558	7.336221e+01	4.809857e+01	0.000000e+00	1.256962e+02
classifier	108910	9.591120e+01	2.263868e+01	1.819148e+00	1.212405e+02
classifier	108909	9.452244e+01	2.271709e+01	9.715100e-01	1.191810e+02
classifier	108909	9.412723e+01	2.246819e+01	9.849910e-01	1.184290e+02
classifier	108910	1.016518e+02	2.481702e+01	8.413070e-01	1.280781e+02
classifier	108910	1.007872e+02	2.505148e+01	8.036270e-01	1.275273e+02
classifier	108910	9.920126e+01	2.801996e+01	8.035920e-01	1.287979e+02
m_receiver	757	1.270389e+02	1.157800e-02	3.282330e-01	1.307053e+02
m_receiver	757	1.229783e+02	1.132100e-02	3.375170e-01	1.276241e+02
m_receiver	757	1.565218e+02	1.562000e-02	2.815200e-02	1.609402e+02
m_receiver	757	1.536803e+02	1.487900e-02	3.123300e-02	1.580905e+02
m_receiver	757	1.546127e+02	7.497000e-03	3.347300e-02	1.588931e+02
detector	653464	5.643384e+01	9.260257e+01	0.000000e+00	1.536252e+02
m_receiver	757	1.229143e+02	3.025600e-02	3.303290e-01	1.288063e+02
sampler	653558	6.640702e+01	5.076276e+01	0.000000e+00	1.216064e+02
classifier	93351	8.583619e+01	1.525842e+01	7.405070e-01	1.025070e+02
classifier	93351	8.456783e+01	1.508595e+01	1.101698e+00	1.018828e+02
classifier	93351	8.358275e+01	1.770685e+01	7.446860e-01	1.029276e+02
classifier	93351	8.375104e+01	1.503580e+01	1.210035e+00	1.006252e+02
classifier	93351	7.677232e+01	1.802840e+01	7.646030e-01	9.621306e+01
classifier	93351	8.096013e+01	1.841811e+01	7.207170e-01	1.008317e+02
classifier	93352	7.983810e+01	1.873582e+01	6.647310e-01	9.986912e+01
detector	653465	6.295345e+01	6.106103e+01	0.000000e+00	1.287926e+02
m_receiver	569	9.305089e+01	9.579000e-03	5.133220e-01	9.987349e+01
m_receiver	569	9.141205e+01	1.137200e-02	3.364110e-01	9.730864e+01
m_receiver	569	9.443466e+01	9.107000e-03	4.924120e-01	1.011770e+02
m_receiver	569	1.087478e+02	9.973000e-03	5.028500e-02	1.146285e+02
m_receiver	569	1.071121e+02	1.616500e-02	5.157400e-02	1.133387e+02
m_receiver	569	1.097661e+02	1.362700e-02	3.280600e-02	1.156138e+02
m_receiver	569	1.091681e+02	1.048800e-02	3.620900e-02	1.151281e+02
sampler	653558	6.458643e+01	5.737126e+01	0.000000e+00	1.267921e+02
classifier	81682	1.006323e+02	1.425968e+01	7.486450e-01	1.162847e+02
classifier	81682	8.966545e+01	1.282892e+01	1.220445e+00	1.044239e+02
classifier	81682	8.473035e+01	1.589867e+01	1.207692e+00	1.026680e+02
classifier	81682	8.724277e+01	1.309517e+01	7.354140e-01	1.016112e+02
classifier	81682	8.840205e+01	1.271135e+01	7.139270e-01	1.028021e+02
classifier	81682	7.999640e+01	1.706353e+01	6.360080e-01	9.831911e+01
classifier	81683	8.108332e+01	1.791308e+01	6.497220e-01	1.002400e+02
classifier	81683	8.089677e+01	1.813597e+01	6.579610e-01	1.002774e+02
m_receiver	574	8.738506e+01	8.426000e-03	2.832860e-01	1.015163e+02
m_receiver	574	8.600536e+01	1.456300e-02	2.463320e-01	9.967010e+01
m_receiver	574	8.664049e+01	8.921000e-03	2.594370e-01	1.002885e+02
m_receiver	574	1.061076e+02	1.338200e-02	2.326900e-02	1.191776e+02
m_receiver	574	1.045486e+02	5.242000e-03	4.396200e-02	1.175489e+02
m_receiver	574	1.039661e+02	7.613000e-03	2.418800e-02	1.174033e+02
m_receiver	574	1.032978e+02	5.613000e-03	4.570000e-02	1.162244e+02
detector	653466	6.458248e+01	6.467404e+01	0.000000e+00	1.346915e+02
m_receiver	574	1.176213e+02	7.799000e-03	8.019000e-03	1.310955e+02
sampler	653558	5.571714e+01	5.698961e+01	0.000000e+00	1.176757e+02
classifier	72606	9.466072e+01	1.203300e+01	5.624440e-01	1.077037e+02
classifier	72606	9.408074e+01	1.211914e+01	1.534842e+00	1.084371e+02
classifier	72606	8.143548e+01	1.259400e+01	7.922200e-01	9.586059e+01
classifier	72607	8.409051e+01	1.300257e+01	8.615810e-01	9.855289e+01
classifier	72606	8.277037e+01	1.372388e+01	6.686380e-01	9.791431e+01
classifier	72606	7.941890e+01	1.222208e+01	5.323820e-01	9.266037e+01
classifier	72607	7.478888e+01	1.357570e+01	5.752130e-01	8.945320e+01
classifier	72607	7.010210e+01	1.398808e+01	5.736900e-01	8.529465e+01
classifier	72607	7.466618e+01	1.379125e+01	5.327740e-01	8.951020e+01
m_receiver	510	8.581269e+01	2.249300e-02	2.903220e-01	9.030277e+01
detector	653467	6.399920e+01	5.465939e+01	0.000000e+00	1.236138e+02
m_receiver	510	8.518966e+01	1.916800e-02	1.939960e-01	8.951072e+01
m_receiver	510	1.030949e+02	8.281000e-03	3.255900e-02	1.072105e+02
m_receiver	510	1.130041e+02	1.577100e-02	1.134900e-02	1.171066e+02
m_receiver	510	1.024783e+02	7.218000e-03	3.606500e-02	1.065366e+02
m_receiver	510	1.123572e+02	6.182000e-03	1.343100e-02	1.163742e+02
m_receiver	510	1.004238e+02	8.945000e-03	2.899400e-02	1.044153e+02
m_receiver	510	8.147100e+01	9.382000e-03	1.456240e-01	8.557891e+01
m_receiver	510	9.726775e+01	4.973000e-03	2.517500e-02	1.013014e+02
sampler	653558	5.633561e+01	5.864571e+01	0.000000e+00	1.199131e+02
classifier	65345	8.643754e+01	1.238390e+01	9.166680e-01	1.002893e+02
classifier	65346	7.476655e+01	1.281616e+01	7.375930e-01	8.887891e+01
classifier	65345	8.695948e+01	1.150761e+01	5.875170e-01	9.949774e+01
classifier	65346	7.748362e+01	1.365505e+01	7.050690e-01	9.254864e+01
classifier	65346	8.680683e+01	1.225258e+01	1.426628e+00	1.009587e+02
classifier	65346	7.663598e+01	1.245954e+01	6.152710e-01	9.023938e+01
classifier	65346	7.849916e+01	1.069698e+01	4.245510e-01	9.008210e+01
classifier	65346	8.610180e+01	1.778819e+01	5.308090e-01	1.049278e+02
classifier	65346	8.884967e+01	1.918188e+01	6.001350e-01	1.090445e+02
classifier	65346	8.835048e+01	1.876182e+01	5.298950e-01	1.081592e+02
detector	653468	5.905396e+01	7.870905e+01	0.000000e+00	1.421086e+02
m_receiver	697	9.236747e+01	1.165600e-02	5.461340e-01	1.096914e+02
m_receiver	697	9.076073e+01	1.063400e-02	3.469330e-01	1.074578e+02
m_receiver	697	1.113492e+02	7.045000e-03	4.327000e-02	1.280191e+02
m_receiver	697	1.199880e+02	7.987000e-03	7.206000e-03	1.361460e+02
m_receiver	697	1.199895e+02	8.293000e-03	1.064200e-02	1.367936e+02
m_receiver	697	1.096758e+02	8.537000e-03	8.767200e-02	1.258996e+02
m_receiver	697	9.120461e+01	2.211800e-02	5.062240e-01	1.081604e+02
m_receiver	697	1.192146e+02	1.304100e-02	9.835000e-03	1.353402e+02
m_receiver	697	1.084700e+02	1.135400e-02	3.550800e-02	1.245959e+02
m_receiver	697	1.099265e+02	7.042000e-03	3.307300e-02	1.260776e+02
sampler	653558	5.924026e+01	5.837867e+01	0.000000e+00	1.226903e+02
classifier	59405	8.073076e+01	8.959243e+00	1.058137e+00	9.118368e+01
classifier	59405	8.156278e+01	9.527368e+00	4.560670e-01	9.193682e+01
classifier	59405	7.895332e+01	1.191251e+01	4.330390e-01	9.178849e+01
classifier	59405	7.835022e+01	1.136124e+01	6.988400e-01	9.106611e+01
classifier	59405	7.949313e+01	1.078432e+01	6.050180e-01	9.140268e+01
classifier	59405	8.475219e+01	8.195713e+00	3.168360e-01	9.365176e+01
classifier	59405	7.898101e+01	1.154830e+01	1.519823e+00	9.275696e+01
classifier	59405	7.854357e+01	1.203380e+01	7.628990e-01	9.185368e+01
classifier	59406	8.522760e+01	1.725074e+01	4.594770e-01	1.033332e+02
classifier	59406	8.863547e+01	1.783910e+01	4.227810e-01	1.073306e+02
classifier	59406	8.789781e+01	1.846522e+01	5.802690e-01	1.073791e+02
detector	653469	5.978159e+01	7.944133e+01	0.000000e+00	1.440221e+02
m_receiver	692	9.712781e+01	1.450000e-02	7.973720e-01	1.080476e+02
m_receiver	692	9.465626e+01	1.225900e-02	5.449190e-01	1.044387e+02
