minas-funcs.c,target/minas,Jun 24 2020 17:10:40,1593029440,readModel,3.957000e-03,1,100
minas-funcs.c,target/minas,Jun 24 2020 17:10:40,1593029454,readExamples,1.363318e+01,1,653457
minas.c,target/minas,Jun 24 2020 17:10:39,1593029517,main,6.310716e+01,1,653457
evaluate.c,target/eval,Jun 24 2020 17:10:39,1593029539,main,2.135103e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 17:12:19,1593029540,readModel,3.962000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 17:12:19,1593029554,readExamples,1.382545e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029554,sendModel,8.440000e-04,4,100
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029579,sendExamples,2.455106e+01,4,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029579,main,2.455113e+01,4,653457
evaluate.c,target/eval,Jun 24 2020 17:10:39,1593029601,main,2.159232e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 17:12:19,1593029602,readModel,7.860000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 17:12:19,1593029616,readExamples,1.381964e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029616,sendModel,2.317200e-02,8,100
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029643,sendExamples,2.585874e+01,8,653457
minas-mpi.c,./target/mfog,Jun 24 2020 17:12:19,1593029643,main,2.585928e+01,8,653457
evaluate.c,target/eval,Jun 24 2020 17:10:39,1593029664,main,2.141584e+01,1,653457
minas-funcs.c,target/minas,Jun 24 2020 19:08:27,1593036508,readModel,8.3.0,3.879000e-03,1,100
minas-funcs.c,target/minas,Jun 24 2020 19:08:27,1593036521,readExamples,8.3.0,1.369582e+01,1,653457
minas.c,target/minas,Jun 24 2020 19:08:27,1593036585,main,8.3.0,6.370430e+01,1,653457
evaluate.c,target/eval,Jun 24 2020 19:08:26,1593036607,main,8.3.0,2.152739e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 19:10:07,1593036608,readModel,8.3.0,4.078000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 19:10:07,1593036622,readExamples,8.3.0,1.398459e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:10:07,1593036622,sendModel,8.3.0,8.690000e-04,4,100
minas-mpi.c,./target/mfog,Jun 24 2020 19:10:07,1593036647,sendExamples,8.3.0,2.447171e+01,4,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:10:07,1593036647,main,8.3.0,2.447205e+01,4,653457
minas-funcs.c,target/minas,Jun 24 2020 19:11:47,1593036707,readModel,8.3.0,3.931000e-03,1,100
minas-funcs.c,target/minas,Jun 24 2020 19:11:47,1593036721,readExamples,8.3.0,1.369797e+01,1,653457
minas.c,target/minas,Jun 24 2020 19:11:47,1593036787,main,8.3.0,6.376076e+01,1,653457
evaluate.c,target/eval,Jun 24 2020 19:11:46,1593036809,main,8.3.0,2.158221e+01,1,653457
minas-funcs.c,./target/mfog,Jun 24 2020 19:13:29,1593036810,readModel,8.3.0,4.009000e-03,1,100
minas-funcs.c,./target/mfog,Jun 24 2020 19:13:29,1593036824,readExamples,8.3.0,1.388616e+01,1,653457
minas-mpi.c,./target/mfog,Jun 24 2020 19:13:29,1593036824,sendModel,8.3.0,8.780000e-04,4,100
